,host_since,host_response_rate,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
19400,20160201.0,0.0,-33.717969906532076,151.2977389897157,2.0,1.0,1.0,1.0,61.0,0.0,0.0,1.0,0.0,5.0,10.0,0.0,0.0
19401,20131206.0,0.82,-33.81870571158777,151.19313967037866,2.0,1.0,1.0,1.0,82.0,0.0,70.0,1.0,0.0,4.0,90.0,11.0,89.0
19402,20131122.0,0.98,-33.879613739498744,151.1787970093135,6.0,2.0,2.0,3.0,231.0,300.0,140.0,4.0,20.0,1.0,1125.0,6.0,83.0
19403,20160805.0,0.0,-34.063830245200826,151.1538532890341,4.0,1.0,2.0,2.0,125.0,0.0,0.0,1.0,0.0,3.0,1125.0,0.0,0.0
19404,20170915.0,1.0,-33.82456194811287,151.07819109356484,6.0,1.0,1.0,2.0,150.0,0.0,0.0,3.0,50.0,2.0,1125.0,8.0,77.0
19405,20150209.0,1.0,-33.89415955790802,151.25371421974,1.0,1.0,1.0,1.0,80.0,0.0,0.0,1.0,0.0,9.0,14.0,1.0,100.0
19406,20150622.0,1.0,-33.85850258648175,151.18306964074372,6.0,1.0,2.0,3.0,190.0,400.0,235.0,6.0,0.0,3.0,1125.0,8.0,75.0
19407,20140513.0,1.0,-33.87615329420593,151.20768580056998,2.0,1.0,1.0,1.0,169.0,250.0,180.0,1.0,0.0,30.0,1125.0,0.0,0.0
19408,20160307.0,1.0,-33.822826506217076,151.17702412674038,2.0,1.0,1.0,1.0,70.0,0.0,45.0,1.0,20.0,2.0,15.0,11.0,98.0
19409,20150215.0,0.0,-33.86312606660072,151.17790316301398,2.0,1.0,1.0,1.0,59.0,0.0,0.0,1.0,12.0,3.0,1125.0,3.0,93.0
19410,20141110.0,1.0,-33.80923924911849,151.25917393013867,6.0,2.0,4.0,6.0,888.0,500.0,100.0,1.0,0.0,2.0,21.0,0.0,0.0
19411,20170902.0,1.0,-33.84631782204415,151.20400608254204,4.0,1.0,2.0,2.0,175.0,150.0,150.0,2.0,26.0,1.0,1124.0,51.0,100.0
19412,20150123.0,0.0,-33.90332134350782,151.26048583319326,4.0,2.5,2.0,3.0,148.0,129.0,50.0,1.0,20.0,2.0,7.0,0.0,0.0
19413,20130324.0,1.0,-33.885054040547715,151.18020221060985,2.0,1.0,1.0,1.0,61.0,2500.0,25.0,1.0,20.0,2.0,10.0,3.0,100.0
19414,20150202.0,0.67,-33.90424115963864,151.26494865201545,5.0,2.5,3.0,3.0,600.0,0.0,250.0,4.0,70.0,1.0,14.0,9.0,98.0
19415,20160505.0,0.93,-33.845850002488675,151.07192122570999,5.0,2.0,2.0,2.0,181.0,500.0,143.0,4.0,25.0,3.0,1125.0,23.0,97.0
19416,20140916.0,0.98,-33.886978100985544,151.19880692049074,14.0,2.5,4.0,8.0,500.0,350.0,285.0,10.0,40.0,2.0,1125.0,5.0,96.0
19417,20161211.0,1.0,-33.70671710191403,151.08504059874613,4.0,1.0,1.0,2.0,112.0,200.0,40.0,2.0,10.0,3.0,1125.0,11.0,91.0
19418,20170919.0,0.0,-33.90135742983434,151.21254804317786,4.0,2.0,3.0,3.0,150.0,1000.0,0.0,1.0,0.0,2.0,1125.0,1.0,0.0
19419,20150101.0,0.0,-33.924580252547656,151.1978451891437,2.0,1.0,1.0,1.0,80.0,0.0,10.0,1.0,7.0,2.0,1125.0,2.0,100.0
19420,20160820.0,1.0,-33.9006051391392,151.17313863936252,1.0,1.0,1.0,1.0,70.0,300.0,20.0,1.0,40.0,5.0,1125.0,7.0,100.0
19421,20160219.0,1.0,-33.91790485215759,151.02736973470385,8.0,1.5,3.0,4.0,100.0,1200.0,120.0,2.0,30.0,1.0,1125.0,24.0,91.0
19422,20151002.0,0.0,-33.92014848174408,151.2546494277757,3.0,1.0,1.0,2.0,70.0,0.0,0.0,1.0,0.0,3.0,32.0,0.0,0.0
19423,20170422.0,1.0,-33.81837202762873,150.99908872727474,2.0,1.0,1.0,1.0,61.0,0.0,15.0,1.0,0.0,1.0,10.0,25.0,95.0
19424,20141121.0,0.0,-33.832484114678664,151.2449512827931,2.0,1.0,1.0,1.0,150.0,250.0,120.0,1.0,0.0,7.0,28.0,1.0,100.0
19425,20141216.0,1.0,-33.936097137156146,151.1443031068246,4.0,1.0,2.0,2.0,128.0,0.0,85.0,1.0,0.0,2.0,21.0,4.0,95.0
19426,20140629.0,0.0,-33.88824942909864,151.2564663738115,4.0,1.0,1.0,3.0,125.0,200.0,50.0,1.0,0.0,3.0,16.0,6.0,100.0
19427,20140109.0,0.0,-33.82410548109538,151.12981128500869,12.0,3.0,4.0,7.0,595.0,1000.0,120.0,1.0,0.0,6.0,13.0,0.0,0.0
19428,20131017.0,0.0,-33.896082491633024,151.21197713583481,2.0,1.0,1.0,1.0,100.0,0.0,35.0,1.0,25.0,2.0,1125.0,3.0,100.0
19429,20130529.0,1.0,-33.891831799173424,151.28432271184082,2.0,1.0,0.0,1.0,119.0,0.0,60.0,1.0,0.0,1.0,1125.0,12.0,100.0
19430,20140901.0,0.0,-33.80207376061512,151.28849086095457,2.0,1.0,1.0,1.0,175.0,0.0,40.0,1.0,0.0,2.0,14.0,2.0,100.0
19431,20170218.0,0.0,-33.88650315440307,151.26859412560998,6.0,1.0,2.0,3.0,200.0,300.0,155.0,1.0,0.0,2.0,1125.0,30.0,97.0
19432,20161111.0,1.0,-33.87681948228588,151.2212000304391,2.0,1.0,1.0,1.0,150.0,150.0,50.0,1.0,0.0,3.0,1125.0,6.0,97.0
