,price
29428,46.0
21288,500.0
3447,200.0
17975,120.0
5083,181.0
6935,164.0
22605,133.0
8580,44.0
15160,75.0
11465,175.0
14229,158.0
6703,90.0
2239,61.0
21733,249.0
23346,249.0
22258,229.0
5175,150.0
15430,315.0
7187,290.0
912,120.0
10068,80.0
6867,290.0
30350,150.0
13501,80.0
3249,40.0
14774,75.0
30270,150.0
9512,160.0
3224,160.0
30457,73.0
29767,55.0
26347,150.0
16668,120.0
13445,97.0
12067,90.0
7556,200.0
9741,100.0
22991,419.0
5854,61.0
15424,75.0
18919,92.0
6697,100.0
13767,90.0
5418,70.0
29035,53.0
1256,799.0
14486,351.0
1800,115.0
18300,90.0
3017,423.0
4392,50.0
16254,351.0
29893,85.0
23983,47.0
8994,440.0
28429,65.0
8253,175.0
25071,155.0
3161,115.0
2876,400.0
241,200.0
19671,150.0
23784,301.0
16575,185.0
567,170.0
2172,85.0
23241,156.0
28003,210.0
18594,170.0
2522,349.0
16780,65.0
27892,146.0
6634,190.0
25511,102.0
19698,49.0
14748,94.0
18011,100.0
19976,140.0
2677,100.0
14567,181.0
24482,30.0
23159,150.0
18837,301.0
2062,150.0
7156,108.0
25167,270.0
438,85.0
26897,187.0
9751,70.0
6560,150.0
8278,32.0
7805,94.0
18024,70.0
28590,146.0
30061,61.0
14851,55.0
11960,120.0
1977,61.0
7642,231.0
19962,150.0
8561,325.0
13242,181.0
17977,200.0
23180,249.0
8336,249.0
21453,399.0
22547,210.0
19324,53.0
16038,50.0
26383,61.0
3057,170.0
1313,71.0
3316,150.0
15964,93.0
29602,249.0
28573,298.0
12113,249.0
19760,80.0
16803,169.0
27539,70.0
28676,61.0
27641,325.0
26478,43.0
24664,40.0
1683,231.0
29695,44.0
15782,135.0
7678,50.0
18443,351.0
286,164.0
9801,75.0
12716,120.0
29012,179.0
30398,80.0
17820,170.0
27719,44.0
8388,750.0
4211,74.0
30520,50.0
1717,80.0
20819,249.0
13775,249.0
24833,181.0
24011,129.0
19319,198.0
15363,400.0
28376,127.0
12875,65.0
26542,179.0
30601,80.0
27858,225.0
21227,200.0
3348,107.0
326,146.0
5524,249.0
30594,200.0
20265,280.0
5159,100.0
22920,249.0
10864,75.0
10976,50.0
20657,500.0
15494,105.0
10889,44.0
21580,121.0
25297,200.0
24548,80.0
27193,65.0
3799,61.0
29644,109.0
18757,200.0
20483,170.0
22421,245.0
26458,160.0
5349,181.0
22313,399.0
28125,61.0
28277,249.0
455,295.0
16456,162.0
13473,51.0
4457,140.0
18548,500.0
4250,94.0
13389,67.0
5000,100.0
14991,324.0
11581,249.0
13932,150.0
19684,100.0
28007,75.0
28785,120.0
21351,225.0
8486,129.0
25087,61.0
14805,200.0
15880,75.0
30529,80.0
25918,50.0
5284,301.0
4749,120.0
15676,249.0
25917,18.0
6308,94.0
26037,150.0
8480,61.0
22311,55.0
14438,129.0
20191,40.0
26084,170.0
19119,574.0
